,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5354582,0.3362317139071095,0.024479418307964507,0.03083467977537266,0.5493410799720929,0.05911310803745632
GSE96769#SRR5355871,0.07436672591080916,0.018815417421251077,0.02901945072102726,0.797803019075213,0.07999538687169759
GSE96769#SRR5354022,0.3217205910567069,0.02396180372909914,0.0311815127004374,0.5626654286970791,0.06047066381667333
GSE96769#SRR5355876,0.04409333532116808,0.0151060014997065,0.024461955877564057,0.82828431189228,0.08805439540928005
GSE96769#SRR5356134,0.0690237210412966,0.03217123178262212,0.06229709597500143,0.7482182354381871,0.0882897157628909
GSE96769#SRR5355031,0.09209902189556003,0.07453195724276368,0.08398204509629972,0.672244945278678,0.07714203048669512
GSE96769#SRR5355237,0.9788034074768119,0.0,0.0,0.017578080167911524,0.0
GSE96769#SRR5355887,0.029345173636275576,0.7269208922180852,0.02529406901408599,0.1960024811889911,0.022437383942559494
GSE96769#SRR5355958,0.07174492526251224,0.024787113849487563,0.03842537025959227,0.7779552068858613,0.08708738374254492
GSE96769#SRR5354531,0.8221858685376986,0.0,0.0,0.14746026890185432,0.015848549368974278
GSE96769#SRR5356087,0.05000738325514788,0.01833812040075587,0.030017916061311316,0.8084354219561805,0.09320115832660242
GSE96769#SRR5354478,0.4540857553733289,0.019382112409975484,0.025120179011780708,0.4527507798382687,0.04866117336664185
GSE96769#SRR5355666,0.0,0.0,0.9961373734621536,0.0,0.0
GSE96769#SRR5354474,0.4000907589925787,0.021334680072472967,0.02760000641422542,0.4975043290619205,0.05347022545879844
GSE96769#SRR5354755,0.3673042900087262,0.02245563319693113,0.02912265387042728,0.5247189968339603,0.05639842608995113
GSE96769#SRR5355908,0.10571195353713132,0.020380658683752367,0.03038238517364934,0.7655542522559698,0.07797075034949477
GSE96769#SRR5354507,0.5492872251381422,0.016009332825493657,0.020739315238582343,0.37378966597743474,0.040174460820343094
GSE96769#SRR5354448,0.45185366666891713,0.01953002854471969,0.025228658761822526,0.4545334220898002,0.04885422393473581
GSE96769#SRR5355251,0.9699963515432317,0.0,0.0,0.024881670219393838,0.0
GSE96769#SRR5355057,0.04865762491037777,0.01730806797719489,0.028156378294551462,0.8167332306099457,0.089144698207929
GSE96769#SRR5355481,0.0,0.9749321485187726,0.0,0.017992425399032563,0.0
GSE96769#SRR5356016,0.04406830562903362,0.015590181414102885,0.02537105567017057,0.8263604332961412,0.08861002399055065
GSE96769#SRR5355157,0.9009471140735736,0.0,0.0,0.08214368512589108,0.0
GSE96769#SRR5354388,0.29078882152072605,0.025544669184296626,0.032564298840034714,0.587915116132865,0.0631870943220738
GSE96769#SRR5355975,0.08448882522683102,0.04486764066162475,0.06323226376395995,0.7238230858330644,0.08358818451451694
GSE96769#SRR5354887,0.04612591287570972,0.01595916510686085,0.025862383015056348,0.8270041852134297,0.08504835378894146
GSE96769#SRR5353478,0.34494441719076363,0.023709664416034563,0.029805907624047872,0.5432357285895092,0.05830428217964565
GSE96769#SRR5354479,0.4626241122893729,0.01908328811378934,0.02472748816083874,0.44566541609838034,0.04789969533761445
GSE96769#SRR5355968,0.05118123720579655,0.018921828591254422,0.030989498693708054,0.803581931664376,0.09532550384486395
GSE96769#SRR5356095,0.0558565501061915,0.021251474967341106,0.03484062994366473,0.7947513316601901,0.09330001332261091
GSE96769#SRR5354385,0.45968477368817623,0.019161032613201817,0.02486246408741983,0.44812751836895137,0.048164211242246874
GSE96769#SRR5355211,0.9605958226134788,0.0,0.0,0.032677352807807404,0.0
GSE96769#SRR5356129,0.07327390780591893,0.05434892143804791,0.20410771343108833,0.5989457488396064,0.06932370848533637
GSE96769#SRR5356059,0.052021616496390186,0.020471951201040117,0.03386454845048013,0.7538076618639319,0.13983422198815584
GSE96769#SRR5355260,0.9735688755156034,0.0,0.0,0.021919001298799257,0.0
GSE96769#SRR5355032,0.05480701033795693,0.020415576783104482,0.03333894348264947,0.799089568384028,0.09234890101225937
GSE96769#SRR5355084,0.06212556742847606,0.021552584886118033,0.034238937203874525,0.7941210240282686,0.0879618864532612
GSE96769#SRR5355075,0.04980582676538568,0.01811776323737161,0.02959085443094,0.8105597317728375,0.09192582379346353
